,content,Content_ID,Embedding,Deviation,Norm_Dev
0,"Put on your favorite tunes and dance like nobody's watching! It's a fun way to get moving, express yourself, and let loose. Plus, you might just discover some new dance moves!",0,[-0.017 -0.023  0.029 ... -0.03   0.011 -0.029],[-0.015 -0.022  0.008 ... -0.026  0.007  0.004],[-0.276 -0.419  0.188 ... -0.505  0.158  0.095]
1,"Take a break from your screen and hit the trails! Hiking is a great way to explore nature, get some exercise, and clear your mind. Don't forget to bring some snacks and water!",1,[ 0.016 -0.     0.022 ... -0.006 -0.005 -0.024],[ 0.018  0.001  0.002 ... -0.002 -0.008  0.009],[ 0.374  0.037  0.052 ... -0.021 -0.147  0.203]
2,"Unroll your yoga mat and take a deep breath. Yoga is a great way to stretch your body, calm your mind, and improve your overall well-being. Namaste!",2,[-0.003 -0.007  0.024 ... -0.001  0.007 -0.021],[-0.001 -0.006  0.004 ...  0.003  0.003  0.012],[-0.001 -0.108  0.097 ...  0.081  0.087  0.254]
3,"Hop on your bike and feel the wind in your hair! Biking is a fun and eco-friendly way to explore your surroundings, get some exercise, and enjoy the outdoors. Don't forget your helmet!",3,[ 0.02  -0.002  0.01  ... -0.009 -0.004 -0.045],[ 0.022 -0.001 -0.011 ... -0.005 -0.008 -0.013],[ 0.452 -0.008 -0.196 ... -0.08  -0.137 -0.234]
4,"Step away from your screen and take a walk outside. Walking is a simple and accessible way to get some exercise, clear your mind, and enjoy the fresh air. Take a different route and see where it takes you!",4,[ 0.022  0.003  0.008 ... -0.012 -0.008 -0.032],[ 0.024  0.004 -0.013 ... -0.008 -0.012  0.   ],[ 0.498  0.09  -0.237 ... -0.147 -0.218  0.027]
5,"Dive into the pool and make a splash! Swimming is a great way to cool off, get a full-body workout, and have fun in the water. Don't forget your sunscreen!",5,[ 0.003  0.018  0.04  ... -0.024  0.01  -0.007],[ 0.005  0.019  0.019 ... -0.02   0.007  0.026],[ 0.117  0.405  0.405 ... -0.383  0.15   0.548]
6,"Pick up some weights and feel the burn! Weightlifting is a great way to build muscle, boost your metabolism, and feel more confident in your body. You got this!",6,[-0.021 -0.016 -0.003 ... -0.021  0.006 -0.026],[-0.018 -0.015 -0.024 ... -0.017  0.002  0.007],[-0.353 -0.285 -0.461 ... -0.317  0.056  0.159]
7,"Put on your running shoes and hit the pavement! Jogging is a great way to improve your cardiovascular health, burn calories, and reduce stress. Start slow and steady, and work your way up!",7,[-0.015 -0.005  0.017 ... -0.012  0.004 -0.019],[-0.013 -0.004 -0.003 ... -0.008  0.     0.014],[-0.247 -0.072 -0.05  ... -0.136  0.018  0.306]
8,"Strap on your roller skates and roll into some fun! Roller skating is a great way to improve your balance, coordination, and get a great workout for your legs and core. Don't forget your knee pads!",8,[-0.011 -0.015  0.033 ... -0.011 -0.002 -0.034],[-0.009 -0.014  0.012 ... -0.006 -0.006 -0.001],[-0.169 -0.264  0.263 ... -0.112 -0.099  0.003]
9,"Grab your clubs and hit the green! Golfing is a fun way to enjoy the outdoors, socialize with friends, and improve your hand-eye coordination and focus. Fore!",9,[-0.005 -0.013  0.02  ... -0.017  0.007 -0.03 ],[-0.003 -0.012 -0.001 ... -0.013  0.004  0.003],[-0.051 -0.223  0.001 ... -0.237  0.094  0.071]
10,Put down your phone and pick up a pencil! Challenge your brain with Sudoku and see how quickly you can fill the grid with numbers. Your mind will thank you for the workout!,10,[-0.002 -0.001  0.022 ... -0.008 -0.01  -0.044],[-0.     0.     0.001 ... -0.004 -0.013 -0.011],[ 0.009  0.022  0.04  ... -0.055 -0.252 -0.205]
11,Take a break from your screen and dive into a good book. Reading can transport you to new worlds and expand your knowledge. Who knows what you might discover?,11,[ 0.017 -0.01   0.031 ... -0.015 -0.005 -0.021],[ 0.019 -0.009  0.01  ... -0.011 -0.009  0.012],[ 0.395 -0.172  0.223 ... -0.207 -0.154  0.255]
12,"Step away from the screen and start piecing together a puzzle. It's a fun way to challenge your mind and relieve stress. Plus, you'll feel a sense of accomplishment when you finish!",12,[ 0.011 -0.002  0.016 ...  0.001  0.006 -0.051],[ 0.013 -0.001 -0.005 ...  0.005  0.003 -0.018],[ 0.285 -0.005 -0.073 ...  0.127  0.069 -0.351]
13,Put your phone down and pick up a pen! Crosswords are a great way to exercise your brain and improve your vocabulary. Challenge yourself to complete one today!,13,[-0.003  0.004  0.033 ...  0.012  0.001 -0.041],[-0.001  0.005  0.012 ...  0.016 -0.003 -0.008],[ 0.005  0.114  0.26  ...  0.345 -0.042 -0.151]
