,Caption
0,"male, young, indian, playing guitar, smiling, sitting"
1,"woman, adult, white, sitting at a desk, writing"
2,"woman, adult, white, preparing food, preparing food, cooking, cooking, cooking,"
3,"senior, white, male, holding a book, walking"
4,"female, adult, white, reading a book with a beagle"
5,"senior, white, male, sewing, working on a sewing machine"
6,"female, young, adult, and smiling while leaning on the edge of a pool"
7,"young, white, male, listening to music, headphones, outdoors"
8,"male, adult, white, working on wood, making furniture"
9,"female, young, asian, taking a photo with a camera"
10,"male, young, adult, and indonesian, and they are hiking"
11,"male, adult, white, reading a newspaper, crossword puzzle"
12,"male, young, adult, and they are making art with paper"
13,"man, adult, white, cooking, frying, preparing food"
14,"female, young, adult, white, sewing, working on a sewing machine"
15,"woman, adult, afro-american, meditating, yoga"
16,"young, white, male, chess, playing, chess"
17,"senior, female, white, knitting, sitting at a table"
18,"male, adult, black, watering plants in a kitchen"
19,"male, adult, white, taking a photo with a camera"
20,"female, young, adult, white, running in the park"
21,"woman, adult, asian, putting flowers in a vase"
22,"male, adult, black, golfing, teeing off"
23,"senior, female, white, cutting a bush with scissors"
24,"female, adult, white, and they are working on a puzzle"
25,"female, adult, white, coloring a mandala"
26,"female, adult, white, and they are writing calligraphy"
27,"young, adult, black, looking up at the sky, hat"
28,"woman, adult, white, carrying boxes, moving, moving boxes, moving, moving boxes, moving"
29,"female, young, asian, jogging"
30,"male, young, adult, and he is tying his shoe"
31,"female, adult, asian, looking at the sky"
32,"male, adult, white, and they are mowing the lawn"
33,"young, white, male, backpack, hiking, mountain, forest, view"
34,"senior, white, male, writing, drawing, painting, sketching"
35,"male, young, black, reading to a baby, sitting in a chair"
36,"female, adult, black, singing into a microphone, performing"
37,"male, adult, white, writing at a table, preparing for a meeting"
38,"male, adult, white, posing with a bike"
39,"male, adult, senior, and they are doing yoga in the park"
40,"woman, asian, adult, watering plants, watering plants"
41,"woman, adult, white, cleaning the mirror, cleaning the house"
42,"female, young, white, writing in a notebook,"
43,senior woman in floral dress with basket on bike in park with trees
44,"senior, male, white, playing with a rubik's cube"
45,"female, adult, asian, working on a sculpture"
46,"female, young, black, working on a project in a workshop"
47,"female, young, adult, white, listening to music outdoors"
48,"female, young, adult, and white, and they are lifting a barbell"
49,"male, adult, black, walking a dog in the park"
