,content,Content_ID,Embedding,Deviation,Norm_Dev
0,Young adult Indian man playing guitar and smiling.,0,[-0.005 -0.011  0.038 ... -0.023  0.008 -0.036],[ 0.005  0.001  0.032 ... -0.012  0.006 -0.012],[ 0.122  0.037  0.723 ... -0.257  0.15  -0.25 ]
1,Adult white woman rolling dough in the kitchen and smiling.,1,[-0.001 -0.027  0.003 ...  0.006  0.001 -0.022],[ 0.009 -0.014 -0.003 ...  0.017 -0.     0.002],[ 0.209 -0.306 -0.052 ...  0.377  0.008  0.057]
2,Person with glasses filling out the newspaper crossword puzzle.,2,[ 0.002  0.004  0.019 ... -0.002 -0.014 -0.03 ],[ 0.012  0.017  0.013 ...  0.009 -0.015 -0.006],[ 0.27   0.376  0.299 ...  0.214 -0.314 -0.127]
3,Senior hispanic man playing a game of cards in the park.,3,[-0.018  0.002  0.019 ... -0.012  0.002 -0.029],[-0.008  0.015  0.013 ... -0.001  0.001 -0.005],[-0.172  0.338  0.306 ... -0.013  0.029 -0.107]
4,Young adult asian woman reading a book outside and smiling.,4,[ 0.001 -0.008  0.015 ... -0.021 -0.002 -0.031],[ 0.011  0.004  0.009 ... -0.01  -0.003 -0.008],[ 0.244  0.107  0.201 ... -0.199 -0.059 -0.157]
5,Person coloring in a coloring book with crayons.,5,[-0.001 -0.008  0.009 ... -0.009  0.005 -0.018],[0.009 0.004 0.003 ... 0.002 0.004 0.006],[0.214 0.109 0.087 ... 0.06  0.093 0.147]
6,Senior white woman biking in the park and looking towards the sky.,6,[ 0.006 -0.03  -0.005 ... -0.003 -0.01  -0.038],[ 0.016 -0.017 -0.011 ...  0.008 -0.011 -0.015],[ 0.354 -0.37  -0.24  ...  0.199 -0.234 -0.309]
7,Person knitting at home next to a basket of yarn.,7,[-0.024 -0.011 -0.008 ... -0.015  0.019 -0.036],[-0.014  0.002 -0.014 ... -0.005  0.018 -0.013],[-0.293  0.05  -0.286 ... -0.087  0.408 -0.266]
8,Young adult African American man walking his dog in the park.,8,[ 0.003 -0.015  0.012 ... -0.015 -0.007 -0.014],[ 0.013 -0.003  0.006 ... -0.004 -0.008  0.009],[ 0.297 -0.054  0.151 ... -0.066 -0.161  0.217]
9,Person shuffling a deck of playing cards.,9,[-0.022 -0.001  0.005 ... -0.021  0.007 -0.046],[-0.012  0.011 -0.001 ... -0.01   0.005 -0.022],[-0.249  0.258 -0.005 ... -0.219  0.129 -0.48 ]
10,Young adult woman making heart hands outdoors at sunset.,10,[-0.026 -0.011  0.005 ... -0.013  0.017 -0.053],[-0.016  0.002 -0.001 ... -0.002  0.016 -0.03 ],[-0.336  0.048 -0.008 ... -0.038  0.365 -0.643]
