,content,Content_ID,Embedding
0,Young adult Indian man playing guitar and smiling.,0,[-0.005 -0.011  0.039 ... -0.023  0.008 -0.036]
1,Adult white woman rolling dough in the kitchen and smiling.,1,[-0.001 -0.027  0.003 ...  0.006  0.001 -0.022]
2,Person with glasses filling out the newspaper crossword puzzle.,2,[ 0.002  0.004  0.019 ... -0.002 -0.014 -0.03 ]
3,Senior hispanic man playing a game of cards in the park.,3,[-0.018  0.002  0.019 ... -0.012  0.002 -0.029]
4,Young adult asian woman reading a book outside and smiling.,4,[ 0.001 -0.008  0.015 ... -0.021 -0.002 -0.031]
5,Person coloring in a coloring book with crayons.,5,[-0.001 -0.008  0.009 ... -0.009  0.005 -0.018]
6,Senior white woman biking in the park and looking towards the sky.,6,[ 0.006 -0.03  -0.005 ... -0.003 -0.01  -0.038]
7,Person knitting at home next to a basket of yarn.,7,[-0.024 -0.011 -0.008 ... -0.015  0.019 -0.036]
8,Young adult African American man walking his dog in the park.,8,[ 0.003 -0.015  0.012 ... -0.015 -0.007 -0.014]
9,Person shuffling a deck of playing cards.,9,[-0.022 -0.001  0.005 ... -0.021  0.007 -0.046]
10,Young adult woman making heart hands outdoors at sunset.,10,[-0.026 -0.011  0.005 ... -0.013  0.017 -0.054]
11,Young adult asian woman in orange vest looking up at a dynamic sky.,11,[-0.004 -0.021  0.008 ... -0.01  -0.    -0.026]
12,Young adult hispanic man taking a deep breath outdoors.,12,[-0.012  0.005  0.021 ... -0.005 -0.001 -0.009]
13,Young adult asian woman meditating outdoors.,13,[-0.01  -0.002  0.016 ... -0.009  0.004 -0.033]
14,"""Young adult African American woman listening to music, smiling, and fist pumping.""",14,[-0.023 -0.011  0.003 ... -0.017  0.004 -0.013]
15,Woman dancing with her dog at home.,15,[-0.027 -0.01  -0.018 ... -0.021  0.006 -0.042]
16,Young adult white woman dancing and cleaning the house.,16,[-0.017 -0.018 -0.026 ... -0.014  0.002 -0.019]
17,Man holding wooden stick while drilling hole.,17,[-0.033 -0.01   0.002 ... -0.002  0.001  0.01 ]
18,"""A wooden desk with ink pens, books, and a notebook with handwriting practice.""",18,[-0.003  0.014  0.005 ... -0.016 -0.003 -0.032]
19,Person sketching flowers in a notepad.,19,[-0.02  -0.001  0.01  ... -0.006  0.004 -0.047]
20,Senior white man painting flowers on a canvas.,20,[-0.005 -0.028 -0.007 ... -0.013  0.007 -0.011]
21,Adult white man reading a book while sitting in the sea.,21,[ 0.012 -0.021  0.007 ... -0.023  0.007 -0.022]
22,Adult asian man focusing on something indoors.,22,[-0.014 -0.023  0.021 ... -0.02  -0.    -0.021]
23,Middle-aged white woman drinking water at the table and looking down at something.,23,[-0.015 -0.015  0.019 ... -0.011 -0.018 -0.001]
24,Senior man planting seeds outside.,24,[ 0.011 -0.035 -0.016 ... -0.023 -0.004  0.004]
25,Woman placing a cutting board into the kitchen cupboard.,25,[-0.011 -0.022  0.001 ... -0.011  0.001 -0.028]
26,"""Flatly with a notebook, coffee, glasses, and polaroids.""",26,[-0.021  0.016  0.025 ...  0.008 -0.019 -0.048]
27,Young adult African American woman looking at the newspaper.,27,[-0.022 -0.005  0.012 ...  0.008 -0.    -0.018]
28,Young adult asian woman placing a blanket on the sofa.,28,[-0.002 -0.019  0.009 ...  0.005  0.007 -0.019]
29,Senior white man wearing a coat and holding a book while walking outdoors.,29,[ 0.008 -0.018  0.003 ... -0.034  0.005 -0.01 ]
30,Adult African American man reading a book to his baby.,30,[-0.003 -0.014 -0.005 ... -0.015 -0.005 -0.014]
31,Senior Italian woman raising her arms and celebrating outdoors.,31,[-0.01  -0.013  0.002 ... -0.008  0.001 -0.029]
32,Adult white woman sitting at a desk and painting.,32,[-0.013 -0.012 -0.01  ...  0.     0.004 -0.029]
33,Middle-aged African American woman picking apples in a garden.,33,[-0.007 -0.023  0.005 ... -0.005 -0.003  0.012]
